20.11.2019,1,0030
21.11.2019,1,0041
22.11.2019,1,0062
23.11.2019,1,0068
24.11.2019,1,0090
25.11.2019,1,0067
26.11.2019,1,0059
27.11.2019,1,0047
28.11.2019,1,0058
29.11.2019,1,0066
30.11.2019,1,0088
01.12.2019,1,0079
02.12.2019,1,0084
03.12.2019,1,0066
04.12.2019,1,0054
05.12.2019,1,0048
06.12.2019,1,0052
07.12.2019,1,0093
08.12.2019,1,0076
09.12.2019,1,0044
10.12.2019,1,0032
11.12.2019,1,0023
12.12.2019,1,0031
13.12.2019,1,0053
14.12.2019,1,0081
15.12.2019,1,0080
16.12.2019,1,0039
17.12.2019,1,0054
18.12.2019,1,0055
19.12.2019,1,0055
20.12.2019,1,0050
21.12.2019,1,0066
22.12.2019,1,0095
23.12.2019,1,0034
24.12.2019,1,0041
25.12.2019,1,0036
26.12.2019,1,0034
27.12.2019,1,0020
28.12.2019,1,0041
29.12.2019,1,0062
30.12.2019,1,0021
31.12.2019,1,0048
01.01.2020,1,0121
02.01.2020,1,0053
03.01.2020,1,0039
04.01.2020,1,0050
05.01.2020,1,0032
06.01.2020,1,0041
07.01.2020,1,0016
08.01.2020,1,0013
09.01.2020,1,0024
10.01.2020,1,0014
11.01.2020,1,0010
12.01.2020,1,0004
13.01.2020,1,0026
14.01.2020,0,9974
15.01.2020,0,9992
16.01.2020,1,0004
17.01.2020,0,9982
18.01.2020,0,9999
19.01.2020,1,0005
20.01.2020,1,0008
21.01.2020,1,0010
22.01.2020,1,0009
23.01.2020,0,9997
24.01.2020,1,0011
25.01.2020,1,0026
26.01.2020,1,0021
27.01.2020,0,9994
28.01.2020,1,0017
29.01.2020,1,0000
30.01.2020,0,9991
31.01.2020,0,9999
01.02.2020,1,0014
02.02.2020,1,0007
03.02.2020,1,0004
04.02.2020,0,9990
05.02.2020,0,9997
06.02.2020,0,9985
07.02.2020,0,9981
08.02.2020,0,9997
09.02.2020,0,9995
10.02.2020,0,9998
11.02.2020,1,0029
12.02.2020,1,0010
13.02.2020,0,9992
14.02.2020,1,0000
15.02.2020,1,0002
16.02.2020,1,0011
17.02.2020,1,0009
18.02.2020,1,0021
19.02.2020,1,0004
20.02.2020,1,0017
21.02.2020,1,0024
22.02.2020,1,0044
23.02.2020,1,0037
24.02.2020,1,0011
25.02.2020,1,0020
26.02.2020,1,0027
27.02.2020,1,0021
28.02.2020,1,0037
29.02.2020,1,0045
01.03.2020,1,0043
02.03.2020,1,0026
03.03.2020,1,0044
04.03.2020,1,0035
05.03.2020,1,0037
06.03.2020,1,0048
07.03.2020,1,0047
08.03.2020,1,0050
09.03.2020,1,0038
10.03.2020,1,0037
11.03.2020,1,0046
12.03.2020,1,0148
13.03.2020,1,0082
14.03.2020,1,0084
15.03.2020,1,0025
16.03.2020,1,0059
17.03.2020,1,0069
18.03.2020,1,0059
19.03.2020,1,0035
20.03.2020,1,0017
21.03.2020,1,0032
22.03.2020,1,0035
23.03.2020,1,0051
24.03.2020,1,0043
25.03.2020,1,0032
26.03.2020,1,0049
27.03.2020,1,0037
28.03.2020,1,0034
29.03.2020,1,0036
30.03.2020,1,0040
31.03.2020,1,0035
01.04.2020,1,0042
02.04.2020,1,0025
03.04.2020,1,0025
04.04.2020,1,0040
05.04.2020,1,0029
06.04.2020,1,0021
07.04.2020,1,0012
08.04.2020,1,0019
09.04.2020,1,0018
10.04.2020,1,0022
11.04.2020,1,0027
12.04.2020,1,0023
13.04.2020,1,0027
14.04.2020,1,0023
15.04.2020,1,0027
16.04.2020,1,0026
